Category,Surveillance Type,link type,label,url,italic,group
Type of Biometric Collection or Technology,Biometric collection from immigration benefit applicants,"Further Information on Capabilities, Uses, and Abuses","FedScoop, DHS Seeks Vast Expansion of Biometrics Collection for Immigration Benefits (November 2025)",https://fedscoop.com/dhs-biometrics-collection-us-citizenship-immigration-services/,,
Type of Biometric Collection or Technology,Biometric collection from immigration benefit applicants,"Further Information on Capabilities, Uses, and Abuses","Electronic Frontier Foundation, Comment Opposing the Department of Homeland Security's Massive Expansion of Biometric Surveillance (October 2020; this proposed expansion was withdrawn in 2021)",https://www.eff.org/deeplinks/2020/10/eff-files-comment-opposing-department-homeland-securitys-massive-expansion,,
Type of Biometric Collection or Technology,Biometric collection from immigration benefit applicants,"Further Information on Capabilities, Uses, and Abuses","Center for Democracy & Technology, Comment on Collection and Use of Biometrics by U.S. Citizenship and Immigration Services (October 2020)",https://cdt.org/wp-content/uploads/2020/10/2020-10-12-CDT-Comment-in-Response-to-DHS-Docket-No-USCIS-2019-0007.pdf,,
Type of Biometric Collection or Technology,Biometric collection from immigration benefit applicants,DHS Policies and Other Resources,DHS AI Use Case Inventory:,,,heading
Type of Biometric Collection or Technology,Biometric collection from immigration benefit applicants,DHS Policies and Other Resources,USCIS Biometrics Enrollment Tool Fingerprint Maximization (DHS-14) (January 2026),https://www.dhs.gov/ai/use-case-inventory/uscis,,bullet
Type of Biometric Collection or Technology,Biometric collection from immigration benefit applicants,DHS Policies and Other Resources,"USCIS Policy Manual Part C, Chapter 2: Biometrics Collection (December 2025)",https://www.uscis.gov/policy-manual/volume-1-part-c-chapter-2,,
Type of Biometric Collection or Technology,Biometric collection from immigration benefit applicants,DHS Policies and Other Resources,USCIS Policy Alert: Biometrics Collection for Aliens in Custody (December 2025),https://www.uscis.gov/sites/default/files/document/policy-manual-updates/20251205-BiometricsCollection.pdf,,
Type of Biometric Collection or Technology,Biometric collection from immigration benefit applicants,DHS Policies and Other Resources,USCIS PIA-060: Customer Profile Management System (November 2024),https://www.dhs.gov/publication/dhsuscispia-060-customer-profile-management-service-cpms,,
Type of Biometric Collection or Technology,Biometric collection from immigration benefit applicants,DHS Policies and Other Resources,USCIS Policy Memo 602-0072: Policy for Accommodating Religious Beliefs During Photograph and Fingerprint Capture (July 2012),https://www.uscis.gov/sites/default/files/document/memos/Accommodating%20Religious%20Beliefs%20PM.pdf,,
Type of Biometric Collection or Technology,IDENT & HART Databases,"Further Information on Capabilities, Uses, and Abuses","Catholic University Journal of Law and Technology, At the HART of Immigration Reform: How DHS's New Biometric Database Will Infringe on the Privacy Rights of U.S. Citizens, Permanent Residents, and Foreign Nationals (December 2025)",https://scholarship.law.edu/jlt/vol34/iss1/4/,ITALICS,
Type of Biometric Collection or Technology,IDENT & HART Databases,"Further Information on Capabilities, Uses, and Abuses","Mijente, Just Futures Law, and Immigrant Defense Project, HART Attack: How DHS's Massive Biometrics Database Will Supercharge Surveillance and Threaten Rights (May 2022)",https://static1.squarespace.com/static/62c3198c117dd661bd99eb3a/t/635c0b2b52d90a16d78ba2dd/1666976559030/HART+Attack.pdf,ITALICS,
Type of Biometric Collection or Technology,IDENT & HART Databases,"Further Information on Capabilities, Uses, and Abuses","National Immigration Law Center, Homeland Advanced Recognition Technology: DHS Is Building a Massive Database of Personal Information (November 2021)",https://media.nilc.org/wp-content/uploads/2021/12/HART-factsheet-2021-11-10.pdf,ITALICS,
Type of Biometric Collection or Technology,IDENT & HART Databases,"Further Information on Capabilities, Uses, and Abuses","Electronic Frontier Foundation, HART: Homeland Security's Massive New Database Will Include Face Recognition, DNA, and Peoples Non-Obvious Relationships (June 2018)",https://www.eff.org/deeplinks/2018/06/hart-homeland-securitys-massive-new-database-will-include-face-recognition-dna-and,ITALICS,
Type of Biometric Collection or Technology,IDENT & HART Databases,DHS Policies and Other Resources,DHS AI Use Case Inventory:,,,heading
Type of Biometric Collection or Technology,IDENT & HART Databases,DHS Policies and Other Resources,USCIS Facial Recognition Through IDENT (DHS-413) (January 2026),https://www.dhs.gov/ai/use-case-inventory/uscis,,bullet
Type of Biometric Collection or Technology,IDENT & HART Databases,DHS Policies and Other Resources,OBIM PIA-004: Homeland Advanced Recognition Technology System Increment 1 (February 2020),https://www.dhs.gov/sites/default/files/publications/privacy-pia-obim004-hartincrement1-february2020_0.pdf,,
Type of Biometric Collection or Technology,IDENT & HART Databases,DHS Policies and Other Resources,NPPD PIA-002: Automated Biometric Identification System (December 2012),https://www.dhs.gov/sites/default/files/publications/privacy-pia-nppd-ident-december2012.pdf,,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,"Further Information on Capabilities, Uses, and Abuses","Electronic Frontier Foundation, The Government Uses Targeted Advertising to Track Your Location. Here's What We Need to Do (March 2026)",https://www.eff.org/deeplinks/2026/03/targeted-advertising-gives-your-location-government-just-ask-cbp,,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,"Further Information on Capabilities, Uses, and Abuses",Letter from Congresspeople to DHS Inspector General re: Purchase of Cell Phone Location Data (March 2026),https://www.wyden.senate.gov/imo/media/doc/wyden_letter_to_dhs_oig_on_ice_purchasing_location_datapdf.pdf,,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,"Further Information on Capabilities, Uses, and Abuses","404 Media, Inside ICE's Tool to Monitor Phones in Entire Neighborhoods (January 2026)",https://www.404media.co/inside-ices-tool-to-monitor-phones-in-entire-neighborhoods/,ITALICS,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,"Further Information on Capabilities, Uses, and Abuses","404 Media, Inside the U.S. Government-Bought Tool That Can Track Phones at Abortion Clinics (October 2024; discussing Babel's Locate X)",https://www.404media.co/inside-the-u-s-government-bought-tool-that-can-track-phones-at-abortion-clinics/,ITALICS,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,"Further Information on Capabilities, Uses, and Abuses","Electronic Privacy Information Center, DHS Disregards Internal Policies and Avoids Fourth Amendment Protections to Track Your Location (February 2024)",https://epic.org/dhs-disregards-internal-policies-and-avoids-fourth-amendment-protections-to-track-your-location/,,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,"Further Information on Capabilities, Uses, and Abuses","FedScoop, ICE Says It's Stopped Using Commercial Telemetry Data (January 2024)",https://fedscoop.com/ice-says-its-stopped-using-phone-location-data/,,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,"Further Information on Capabilities, Uses, and Abuses","DHS Office of Inspector General, CBP, ICE, and Secret Service Did Not Adhere to Privacy Policies or Develop Sufficient Policies Before Procuring and Using Commercial Telemetry Data (September 2023)",https://www.oig.dhs.gov/sites/default/files/assets/2023-09/OIG-23-61-Sep23-Redacted.pdf,,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,"Further Information on Capabilities, Uses, and Abuses","DHS Office of Inspector General, Secret Service and ICE Did Not Always Adhere to Statute and Policies Governing Use of Cell-Site Simulators (February 2023)",https://www.oig.dhs.gov/sites/default/files/assets/2023-03/OIG-23-17-Feb23-Redacted.pdf,,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,"Further Information on Capabilities, Uses, and Abuses","Electronic Privacy Information Center, DHS's Data Reservoir: ICE and CBP's Capture and Circulation of Location Information (August 2022)",https://epic.org/wp-content/uploads/2022/08/DHS-Data-Reservoir-Report-Aug2022.pdf,ITALICS,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,"Further Information on Capabilities, Uses, and Abuses","ACLU, New Records Detail DHS Purchase and Use of Vast Quantities of Cell Phone Location Data (July 2022)",https://www.aclu.org/news/privacy-technology/new-records-detail-dhs-purchase-and-use-of-vast-quantities-of-cell-phone-location-data,,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,"Further Information on Capabilities, Uses, and Abuses","The Wall Street Journal, Federal Agencies Use Cellphone Location Data for Immigration Enforcement (February 2020)",https://www.wsj.com/articles/federal-agencies-use-cellphone-location-data-for-immigration-enforcement-11581078600,ITALICS,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,"Further Information on Capabilities, Uses, and Abuses","Electronic Frontier Federation, Gotta Catch Em All: Understanding How IMSI-Catchers Exploit Cell Networks (June 2019)",https://www.eff.org/wp/gotta-catch-em-all-understanding-how-imsi-catchers-exploit-cell-networks,ITALICS,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,"Further Information on Capabilities, Uses, and Abuses","Brennan Center, Cellphones, Law Enforcement, and the Right to Privacy (December 2018)",https://www.brennancenter.org/our-work/research-reports/cellphones-law-enforcement-and-right-privacy,ITALICS,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,DHS Policies and Other Resources,CBP PIA-080: Commercial Telemetry Data Evaluation (August 2024),https://www.dhs.gov/sites/default/files/2024-08/24_0812_priv_pia-cbp-080-commercial-telemetry.pdf,,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,DHS Policies and Other Resources,HSI Policy Memo: Use of Cell-Site Simulator Technology (September 2023),https://www.ice.gov/doclib/foia/policy/memo_UseCellSiteSimulatorTech_09.01.2023.pdf,,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,DHS Policies and Other Resources,ICE PIA-061: Homeland Security Investigation Surveillance Technologies (January 2022),https://www.dhs.gov/sites/default/files/2022-01/privacy-pia-ice061-hsisuveillancetech-january2022_0.pdf,,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,DHS Policies and Other Resources,ICE Legal Analysis: Draft Legal Document Discussing ICE's Use of Geolocation Data (2021),https://www.aclu.org/cases/aclu-v-department-homeland-security-commercial-location-data-foia?document=Draft-Legal-Document-Discussing-ICEs-Use-of-Geolocation-Data,,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,DHS Policies and Other Resources,DHS Policy Directive 047-02: Department Policy Regarding the Use of Cell-Site Simulator Technology (October 2015),https://www.dhs.gov/sites/default/files/publications/mgmt/law-enforcement/mgmt-dir_047-02-dept-policy-regarding-use-cell-site-simulator-technology.pdf,,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,DHS Policies and Other Resources,I&A Policy Instruction IA-1002: Safeguarding Personal Information Collected from Signals Intelligence Activities (January 2015),https://www.dhs.gov/sites/default/files/publications/i%26a-ppd-28.pdf,,
Type of Location Tracking,License plate readers (LPR) and LPR data,"Further Information on Capabilities, Uses, and Abuses","Associated Press, Border Patrol Is Monitoring U.S. Drivers and Detaining Those with Suspicious Travel Patterns (November 2025)",https://apnews.com/article/immigration-border-patrol-surveillance-drivers-ice-trump-9f5d05469ce8c629d6fecf32d32098cd,,
Type of Location Tracking,License plate readers (LPR) and LPR data,"Further Information on Capabilities, Uses, and Abuses","University of Washington Center for Human Rights, Leaving the Door Wide Open: Flock Surveillance Systems Expose Washington Data to Immigration Enforcement (October 2025)",https://jsis.washington.edu/humanrights/2025/10/21/leaving-the-door-wide-open/,ITALICS,
Type of Location Tracking,License plate readers (LPR) and LPR data,"Further Information on Capabilities, Uses, and Abuses","Brennan Center, Automatic License Plate Readers: Legal Status and Policy Recommendations for Law Enforcement Use (September 2020)",https://www.brennancenter.org/our-work/research-reports/automatic-license-plate-readers-legal-status-and-policy-recommendations,ITALICS,
Type of Location Tracking,License plate readers (LPR) and LPR data,DHS Policies and Other Resources,DHS AI Use Case Inventory (January 2026):,,,heading
Type of Location Tracking,License plate readers (LPR) and LPR data,DHS Policies and Other Resources,USSS License Plate Reader (DHS-2626) ,https://www.dhs.gov/ai/use-case-inventory/usss,,bullet
Type of Location Tracking,License plate readers (LPR) and LPR data,DHS Policies and Other Resources,ICE License Plate Capture and Analysis (DHS-2666),https://www.dhs.gov/ai/use-case-inventory/ice,,bullet
Type of Location Tracking,License plate readers (LPR) and LPR data,DHS Policies and Other Resources,ICE PIA-061: Homeland Security Investigation Surveillance Technologies (January 2022),https://www.dhs.gov/sites/default/files/2022-01/privacy-pia-ice061-hsisuveillancetech-january2022_0.pdf,,
Type of Location Tracking,License plate readers (LPR) and LPR data,DHS Policies and Other Resources,ICE PIA-039: Acquisition and Use of License Plate Reader Data from a Commercial Service (May 2021),https://www.dhs.gov/publication/dhs-ice-pia-039-acquisition-and-use-license-plate-reader-data-commercial-service,,
Type of Location Tracking,License plate readers (LPR) and LPR data,DHS Policies and Other Resources,CBP PIA-049: CBP License Plate Reader Technology (July 2020),https://www.dhs.gov/publication/dhscbppia-049-cbp-license-plate-reader-technology,,
Type of Location Tracking,Other vehicle tracking,"Further Information on Capabilities, Uses, and Abuses","The Intercept, Your Car Is Spying on You, and a CBP Contract Shows the Risks (May 2021)",https://theintercept.com/2021/05/03/car-surveillance-berla-msab-cbp/,ITALICS,
Type of Location Tracking,Other vehicle tracking,DHS Policies and Other Resources,S&T Fact Sheet: Project iVe  Vehicle Navigation/Infotainment System Forensics for Law Enforcement (April 2017),https://www.dhs.gov/sites/default/files/publications/508_FactSheet_CSD_Cybersecurity Forensics_Berla iVe_Final_April 2016.pdf,,
Type of Phone Access Tools,Digital forensics,"Further Information on Capabilities, Uses, and Abuses","FedScoop, DHS Units to Re-up Contract with Controversial Mobile Device Data Extractor (May 2026)",https://fedscoop.com/dhs-cellebrite-privacy-drones-data-mobile-devices-ice/,,
Type of Phone Access Tools,Digital forensics,"Further Information on Capabilities, Uses, and Abuses","Forbes, ICE Spent Millions on Phone Hacking Tech, Just in Time for Trump's Mass Deportation Plans (November 2024)",https://www.forbes.com/sites/thomasbrewster/2024/11/25/ice-spent-millions-on-phone-hacking-tech-just-in-time-for-trumps-mass-deportation-plans/,,
Type of Phone Access Tools,Digital forensics,DHS Policies and Other Resources,DHS AI Use Case Inventory:,,,heading
Type of Phone Access Tools,Digital forensics,DHS Policies and Other Resources,ICE Mobile Device Forensics for Investigations (DHS-2552) (January 2026),https://www.dhs.gov/ai/use-case-inventory/ice,,bullet
Type of Phone Access Tools,Digital forensics,DHS Policies and Other Resources,CBP PIA-053: Border Patrol Digital Forensics Programs (July 2020),https://www.dhs.gov/publication/dhscbppia-053-us-border-patrol-digital-forensics-programs,,
Type of Phone Access Tools,Digital forensics,DHS Policies and Other Resources,HSI Handbook 20-03: Computer Forensics Handbook (June 2020),https://www.ice.gov/doclib/foia/policy/handbookHSI_20-03_06.12.2020.pdf,,
Type of Phone Access Tools,Digital forensics,DHS Policies and Other Resources,ICE PIA-042: Forensic Analysis of Electronic Media (May 2015),https://www.dhs.gov/sites/default/files/publications/privacy-pia-forensicanalysisofelectronicmedia-may2015.pdf,,
Type of Phone Access Tools,Remote hacking,"Further Information on Capabilities, Uses, and Abuses","404 Media, We Sued ICE to Get Its Spyware Contract. The Agency Is Redacting Essentially Everything (June 2026)",https://www.404media.co/we-sued-ice-to-get-its-spyware-contract-the-agency-is-redacting-essentially-everything/,ITALICS,
Type of Phone Access Tools,Remote hacking,"Further Information on Capabilities, Uses, and Abuses","NPR, What We Know About How the U.S. Government Uses Spyware (and What We Don't) (May 2026)",https://www.npr.org/2026/05/19/nx-s1-5826085/spyware-trump-dhs-paragon,,
Type of Phone Access Tools,Remote hacking,"Further Information on Capabilities, Uses, and Abuses","Electronic Privacy Information Center, The Fight to Protect Our Phones: A Multi-Prong Approach to Spyware Reform (November 2025)",https://epic.org/wp-content/uploads/2025/11/EPIC-The-Fight-to-Protect-Our-Phones.pdf?inline=1,ITALICS,
Type of Phone Access Tools,Remote hacking,"Further Information on Capabilities, Uses, and Abuses","All-Source Intelligence, ICE Reactivated Its $2 Million Contract with Israeli Spyware Firm Paragon, Following Its Acquisition by U.S. Capital (September 2025)",https://jackpoulson.substack.com/p/exclusive-ice-has-reactivated-its,,
Type of Phone Access Tools,Remote hacking,"Further Information on Capabilities, Uses, and Abuses","The Citizen Lab, Virtue or Vice? A First Look at Paragon's Proliferating Spyware Operations (Mar 2025)",https://citizenlab.ca/research/a-first-look-at-paragons-proliferating-spyware-operations/,ITALICS,
Type of Phone Access Tools,Remote hacking,DHS Policies and Other Resources,Letter from ICE to Rep. Summer Lee re: Response to Congressional Letter About Paragon (April 2026),https://www.documentcloud.org/documents/27988741-ice-letter-response-to-congress/,,
Type of Phone Access Tools,Wiretaps,"Further Information on Capabilities, Uses, and Abuses","The Logic, Ottawa is Subsidizing a Tech Firm that Provides Wiretapping Tools to ICE (January 2026)",https://thelogic.co/news/exclusive/ottawa-ice-wiretap-jsi-telecom/,ITALICS,
Type of Phone Access Tools,Wiretaps,"Further Information on Capabilities, Uses, and Abuses","Privacy International, ICE Is Paying Millions to Surveillance Company to Spy on People's Communications (May 2019)",https://privacyinternational.org/news-analysis/2995/ice-paying-millions-surveillance-company-spy-peoples-communications,,
Type of Phone Access Tools,Wiretaps,DHS Policies and Other Resources,ICE PIA-061: Homeland Security Investigation Surveillance Technologies (January 2022),https://www.dhs.gov/sites/default/files/2022-01/privacy-pia-ice061-hsisuveillancetech-january2022_0.pdf,,
Type of Video Surveillance,Drones,"Further Information on Capabilities, Uses, and Abuses","ACLU, Drones for Them but Not for Us? (March 2026)",https://www.aclu.org/documents/drones-for-them-but-not-for-us,ITALIC,
Type of Video Surveillance,Drones,"Further Information on Capabilities, Uses, and Abuses","FedScoop, DHS Launches Drone-Focused Office Ahead of World Cup, America250 (January 2026)",https://fedscoop.com/dhs-drone-office-unmanned-aircraft-systems/,,
Type of Video Surveillance,Drones,"Further Information on Capabilities, Uses, and Abuses","404 Media, CBP Flew Drones to Help ICE 50 Times in Last Year (September 2025)",https://www.404media.co/cbp-flew-drones-to-help-ice-50-times-in-last-year/,ITALICS,
Type of Video Surveillance,Drones,"Further Information on Capabilities, Uses, and Abuses","404 Media, CBP Confirms It Is Flying Predator Drones Above Los Angeles to Support ICE (June 2025)",https://www.404media.co/cbp-confirms-it-is-flying-predator-drones-above-los-angeles-to-support-ice/,ITALICS,
Type of Video Surveillance,Drones,DHS Policies and Other Resources,DHS AI Use Case Inventory:,,,heading
Type of Video Surveillance,Drones,DHS Policies and Other Resources,CBP Unmanned Aircraft Collision Avoidance (Skydio) (January 2026),https://www.dhs.gov/ai/use-case-inventory/cbp,,bullet
